№,Секунда ,Микросекунда
1,36,582542
2,36,600536
3,36,616537
4,36,632537
5,36,648538
6,36,664539
7,36,680538
8,36,696540
9,36,713541
10,36,727537
11,36,742537
12,36,758537
13,36,774538
14,36,790536
15,36,805536
16,36,820538
17,36,836537
18,36,852537
19,36,868536
20,36,884536
21,36,900536
22,36,916537
23,36,932538
24,36,948538
25,36,964546
26,36,980548
27,36,996540
28,37,12537
29,37,28537
30,37,44537
31,37,60536
32,37,75536
33,37,90537
34,37,105538
35,37,121537
36,37,137536
37,37,153537
38,37,169536
39,37,184536
40,37,200539
41,37,216537
42,37,232540
43,37,248538
44,37,263538
45,37,279537
46,37,295543
47,37,311538
48,37,327537
49,37,343537
50,37,359536
51,37,375537
52,37,391535
53,37,407536
54,37,423538
55,37,438536
56,37,454537
57,37,470537
58,37,486538
59,37,502536
60,37,518537
61,37,534537
62,37,549538
63,37,565552
64,37,581539
65,37,597553
66,37,613539
67,37,628536
68,37,644536
69,37,660539
70,37,676537
71,37,692536
72,37,708537
73,37,723538
74,37,739538
75,37,755538
76,37,771540
77,37,787537
78,37,802536
79,37,818538
80,37,834538
81,37,849557
82,37,865538
83,37,881538
84,37,896550
85,37,912537
86,37,928541
87,37,944538
88,37,960537
89,37,976538
90,37,992537
91,38,8538
92,38,24536
93,38,40538
94,38,55537
95,38,71538
96,38,87537
97,38,102536
98,38,118537
99,38,134537
100,38,149538
101,38,165538
102,38,181537
103,38,197542
104,38,213538
105,38,229537
106,38,245536
107,38,261536
108,38,276536
109,38,292539
110,38,309538
111,38,323537
112,38,339536
113,38,354537
114,38,370536
115,38,386537
116,38,402537
117,38,418537
118,38,434537
119,38,450549
120,38,466539
121,38,481538
122,38,497541
123,38,512537
124,38,528550
125,38,544536
126,38,560548
127,38,576536
128,38,592536
129,38,609540
130,38,624536
131,38,640537
132,38,655537
133,38,671537
134,38,686539
135,38,702537
136,38,717537
137,38,733537
138,38,749540
139,38,765540
140,38,780537
141,38,796536
142,38,811538
143,38,827537
144,38,843536
145,38,859537
146,38,875536
147,38,891537
148,38,907536
149,38,923540
150,38,938538
151,38,954536
152,38,970537
153,38,986538
154,39,2536
155,39,17538
156,39,33537
157,39,49539
158,39,65539
159,39,81538
160,39,97537
161,39,113536
162,39,129536
163,39,145537
164,39,161537
165,39,177536
166,39,193537
167,39,209537
168,39,224539
169,39,240537
170,39,256537
171,39,272539
172,39,288537
173,39,304536
174,39,320537
175,39,336537
176,39,352537
177,39,368537
178,39,384545
179,39,400537
180,39,416552
181,39,432538
182,39,449540
183,39,464538
184,39,480536
185,39,496537
186,39,512536
187,39,528536
188,39,544537
189,39,559537
190,39,575537
191,39,591537
192,39,607536
193,39,623538
194,39,638537
195,39,654538
196,39,670546
197,39,686537
198,39,702536
199,39,718537
200,39,734537
201,39,750536
202,39,766539
203,39,782539
204,39,803538
205,39,814536
206,39,830551
207,39,846537
208,39,861537
209,39,877536
210,39,892537
211,39,908537
212,39,924536
213,39,940536
214,39,956537
215,39,972536
216,39,988537
217,40,4537
218,40,20537
219,40,36537
220,40,52537
221,40,68538
222,40,84537
223,40,100537
224,40,115539
225,40,131539
226,40,147539
227,40,163537
228,40,178537
229,40,194537
230,40,210537
231,40,226536
232,40,242537
233,40,258537
234,40,274537
235,40,290536
236,40,306537
237,40,321536
238,40,337537
239,40,353537
240,40,369537
241,40,385539
242,40,401539
243,40,417537
244,40,432539
245,40,448536
246,40,463552
247,40,479550
248,40,494537
249,40,510538
250,40,525536
251,40,540536
252,40,556537
253,40,572537
254,40,588537
255,40,604536
256,40,620538
257,40,636536
258,40,651538
259,40,667537
260,40,683539
261,40,699539
262,40,715538
263,40,731537
264,40,747537
265,40,762537
266,40,778542
267,40,794538
268,40,810548
269,40,826536
270,40,841537
271,40,857536
272,40,873539
273,40,889537
274,40,905535
275,40,921537
276,40,937537
277,40,953537
278,40,969546
279,40,985537
280,41,1553
281,41,17537
282,41,33539
283,41,48538
284,41,64537
285,41,81542
286,41,96539
287,41,112537
288,41,128536
289,41,144537
290,41,160537
291,41,175537
292,41,191537
293,41,206538
294,41,222537
295,41,238536
296,41,254537
297,41,270536
298,41,286537
299,41,302551
300,41,318554
